"","TF","permutation","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue","Cohend_factor","pvalueAdj","median.cor.tfs","classification_q0.1","classification_q0.05","classification_q0.01","classification_q0.001","classification_distr_rawP","classification_q0.1_final","classification_q0.05_final","classification_q0.01_final","classification_q0.001_final","yValue","pValueAdj_log10","pValue_log10","pValueAdj_sig","pValue_sig"
"95","MA0877.2",0,0.0827,0.163,2763,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.119744359389895,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000391429796665777,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"96","MA0879.1",0,-0.0201,0.0401,3799,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.128177215929429,"repressor","repressor","repressor","repressor",0.000000000000000000000095965107785214,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"97","MA0880.1",0,-0.0127,0.0309,6174,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.122458595766026,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000382598043150533,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"98","MA0883.1",0,-0.0603,0.113,5224,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.116150883466896,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000259429724306455,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"99","MA1107.2",0,-0.0573,0.123,8749,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.1388094326294,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000911655495093235,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"100","MA1111.1",0,-0.0492,0.0947,4506,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.42047439983991,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000740484097476036,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"101","MA1112.2",0,-0.0298,0.0586,5751,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.146527104125084,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013063617180413,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"102","MA1115.1",0,0.0204,0.0551,2504,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.203610087208252,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000487747705213487,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"103","MA1123.2",0,0.0383,0.0719,3710,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.328562145884662,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000317232727777944,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"104","MA1125.1",0,0.141,0.272,2054,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.196373978813839,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000493943401739045,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"105","MA1421.1",0,-0.0101,0.0292,5390,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.135140207013865,"repressor","repressor","repressor","repressor",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000141752081829366,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"106","MA1471.1",0,0.0949,0.177,2090,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.118233875336721,"repressor","repressor","repressor","repressor",0.0000000000000000000000000000860086145298829,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"107","MA1481.1",0,-0.038,0.083,2476,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.141463663333646,"repressor","repressor","repressor","repressor",0.000000000000000000000000000000272517409273431,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"108","MA1491.1",0,0.0529,0.113,9120,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.101066339928292,"repressor","repressor","repressor","repressor",0.000000597729760342701,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"109","MA1512.1",0,-0.0676,0.142,10445,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.093021739909519,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000000000000000000000122472406509884,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"110","MA1515.1",0,-0.0484,0.107,12022,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.117206336260607,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000000000000000319802221724386,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"111","MA1517.1",0,-0.0863,0.18,8712,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.146284367442022,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000782492025600587,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"112","MA1519.1",0,0.0517,0.0936,5075,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.0960451931260024,"repressor","repressor","repressor","repressor",0.00000763817637303476,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"113","MA1534.1",0,0.0573,0.105,3827,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.251895714243939,"repressor","repressor","repressor","repressor",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000597748745101928,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"114","MA1541.1",0,0.0377,0.0781,2716,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.231847868329831,"repressor","repressor","repressor","repressor",0.000000000000000000000000000000000000000000000000000000000000000102103615822208,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"115","MA1545.1",0,0.0715,0.142,2559,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.109851477075481,"repressor","repressor","repressor","repressor",0.0000373720794622443,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"116","MA1547.1",0,-0.064,0.124,4421,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.120710090648367,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000403468244331705,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
