"","permutation","TF","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue"
"814",7,"MA0095.2",-0.00169,0.116,5822,NA,NA,0.0769230769230769
"815",8,"MA0095.2",-0.00094,0.096,5822,NA,NA,0.0769230769230769
"816",9,"MA0095.2",0.00425,0.0502,5822,NA,NA,0.0769230769230769
"817",10,"MA0095.2",-0.000302,0.141,5822,NA,NA,0.0769230769230769
"818",11,"MA0095.2",-0.00195,0.0669,5822,NA,NA,0.0769230769230769
"819",12,"MA0095.2",-0.000874,0.0422,5822,NA,NA,0.0769230769230769
"820",0,"MA0098.3",-0.0412,0.206,5427,NA,NA,0.0769230769230769
"821",1,"MA0098.3",0.0129,0.175,5427,NA,NA,0.0769230769230769
"822",2,"MA0098.3",-0.00297,0.159,5427,NA,NA,0.0769230769230769
"823",3,"MA0098.3",0.00369,0.214,5427,NA,NA,0.0769230769230769
"824",4,"MA0098.3",0.00554,0.178,5427,NA,NA,0.0769230769230769
